company,partNum,partDesc,rangeName,groupDesc,subGroupDesc,stockLev
SECONPLC,200-203-054,"SHELBY 4'6"" HIGH END SLEIGH BED - BROWN PU",SHELBY RANGE,BEDS,4'6 BEDS,335
SECONPLC,200-203-055,"SHELBY 4'6"" HIGH END SLEIGH BED - GREY CRUSHED VELVET",SHELBY RANGE,BEDS,4'6 BEDS,183
SECONPLC,200-203-056,"REGAL 4'6"" BED - BLACK PU",REGAL RANGE,BEDS,4'6 BEDS,36
SECONPLC,200-203-058,"REGAL 4'6"" BED - GREY FABRIC",REGAL RANGE,BEDS,4'6 BEDS,205
SECONPLC,200-203-064,"SHELBY 4'6"" LOW END SLEIGH BED - GREY CRUSHED VELVET",SHELBY RANGE,BEDS,4'6 BEDS,247
SECONPLC,200-203-066,"LUTON 4'6"" BED - BLACK/BLACK",LUTON RANGE,BEDS,4'6 BEDS,123
SECONPLC,200-203-096,"HAMPTON 4'6"" BED - LIGHT GREY FABRIC",HAMPTON RANGE,BEDS,4'6 BEDS,412
SECONPLC,200-203-098,"PRADO 4'6"" BED - GREY PU",PRADO RANGE,BEDS,4'6 BEDS,446
SECONPLC,200-203-104,"AMELIA 4'6"" BED - BLUE VELVET FABRIC",AMELIA RANGE,BEDS,4'6 BEDS,20
SECONPLC,200-203-105,"AMELIA 4'6"" PLUS BED - BLUE VELVET FABRIC",AMELIA RANGE,BEDS,4'6 BEDS,260
SECONPLC,200-203-108,"AMBER 4'6"" BED - GREY SLATE",AMBER RANGE,BEDS,4'6 BEDS,178
SECONPLC,200-203-109,"TOLEDO 4'6"" BED - WHITE",TOLEDO RANGE,BEDS,4'6 BEDS,280
SECONPLC,200-203-122,"HARLOW 4'6"" BED - BLACK",HARLOW RANGE,BEDS,4'6 BEDS,483
SECONPLC,200-203-138,"VERONA 4'6"" OTTOMAN BED - GREY FABRIC",VERONA RANGE,BEDS,4'6 BEDS,139
SECONPLC,200-203-140,"MAINE 4'6"" BED - TAUPE VELVET FABRIC",MAINE RANGE,BEDS,4'6 BEDS,38
SECONPLC,100-101-057,LISBON 2 DOOR WARDROBE - BLACK WOOD GRAIN,LISBON RANGE,BEDROOM FURNITURE,WARDROBES,165
SECONPLC,100-101-076,NEVADA 4 DOOR 2 DRAWER WARDROBE - OYSTER GLOSS/LIGHT OAK EFFECT VENEER,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,2
SECONPLC,100-101-082,SOL 2 DOOR WARDROBE - CREAM,SOL RANGE,BEDROOM FURNITURE,WARDROBES,88
SECONPLC,100-101-085,NEVADA MIRRORED 2 DOOR WARDROBE - GREY GLOSS/LIGHT OAK EFFECT VENEER,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,241
SECONPLC,100-101-090,NEVADA 2 DOOR 1 DRAWER WARDROBE - WHITE GLOSS,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,262
SECONPLC,100-101-094,NORDIC 3 DOOR 3 DRAWER WARDROBE - WHITE/DISTRESSED EFFECT,NORDIC RANGE,BEDROOM FURNITURE,WARDROBES,231
SECONPLC,100-101-109,NEVADA 6 DOOR 2 DRAWER WARDROBE - GREY GLOSS/LIGHT OAK EFFECT VENEER,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,493
SECONPLC,100-101-112,NEVADA 6 DOOR 2 DRAWER WARDROBE - SONOMA OAK EFFECT,NEVADA RANGE,BEDROOM FURNITURE,WARDROBES,371
